Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.7,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000730665381998561,0.00145525243158391,-0.00742521937425783,10726.5420745321,23836.7601656268,3356.78043488058
2.71,NaN,NaN,1,0,5.70549855370424e-06,1,1,1,1,0.000905833486297589,0.00179715005633095,-0.00676085569181244,9122.02399547915,20271.1644343981,5127.5933379235
2.72,1,0.08,1,0,4.02841424155656e-06,1,1,1,1,0.00111056580663317,0.00219815922216954,-0.00604438211549267,7498.98419874159,16664.4093305369,0
2.73,NaN,NaN,1,0,4.02841424155656e-06,1,1,1,1,0.00126209139235311,0.00258046154437504,-0.00535265614887125,6108.76379323195,13575.0306516266,426.478815347943
2.74,NaN,NaN,1,0,4.02841424155656e-06,1,1,1,1,0.00130313254985851,0.00287572803378829,-0.00475295810109303,5126.85047434662,11393.0010541036,1583.65397213017
2.75,NaN,NaN,1,0,4.02841424155656e-06,1,1,1,1,0.00123789825896633,0.00306639475143076,-0.00426210873186258,4494.36574177813,9987.47942617361,2982.90164341327
2.76,1,0.04,1,0,3.82113545243006e-06,0,1,1,1,0.00115369048987226,0.00317440496576028,-0.00385797807701773,4051.94524909133,9004.32277575852,0
2.77,NaN,NaN,1,0,3.82113545243006e-06,0,1,1,1,0.00104003217683252,0.00323211821895539,-0.00350962020910491,3707.43015081128,8238.73366846951,68.1953585300326
2.78,NaN,NaN,1,0,3.82113545243006e-06,1,1,1,1,0.000882428290420695,0.00326482096805486,-0.00319206911136831,3411.47551814511,7581.05670698913,224.920482418984
2.79,NaN,NaN,1,0,3.82113545243006e-06,1,1,1,1,0.000753043050735048,0.00329085843098894,-0.0028863188568988,3145.19028234851,6989.31173855223,444.073361664846
2.8,NaN,NaN,1,0,3.82113545243006e-06,1,1,1,1,0.000664700211483088,0.00332932000849417,-0.00257395449684043,2920.48836671842,6489.97414826316,726.588922700927
2.81,NaN,NaN,1,0,3.82113545243006e-06,0,1,1,1,0.00067807995285131,0.00340453507453036,-0.00223114516024244,2743.61610358158,6096.92467462573,1085.93166243829
2.82,NaN,NaN,1,0,3.82113545243006e-06,1,1,1,1,0.000715334349672902,0.0035496087119559,-0.00182615364474664,2648.07728562569,5884.61619027932,1575.85166503481
2.83,NaN,NaN,1,0,3.82113545243006e-06,1,1,1,1,0.000845730268975744,0.00379234330475697,-0.00132979268746583,2679.60753445536,5954.6834099008,2344.36605740582
2.84,1,0.08,1,0,2.5410332463925e-06,1,1,1,1,0.00104736690242917,0.00412860094222489,-0.00074587404636925,2967.18641328742,6593.74758508316,0
2.85,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.00124565956798663,0.00449692406623857,-0.000135107137268534,3641.58906674772,8092.42014832825,306.978472402821
2.86,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.00135394161756909,0.00480914081766605,0.000415378776444578,4658.29521908205,10351.7671535157,1283.09636755209
2.87,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.00133906151967724,0.00501400052510379,0.000855303127553893,5701.43878522429,12669.8639671651,2592.54651544081
2.88,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.00123008940818031,0.00511655405255922,0.00119021220461337,6447.85142962766,14328.5587325059,3709.0460597331
2.89,NaN,NaN,1,0,2.5410332463925e-06,1,1,1,1,0.00107686767581818,0.00514878860697295,0.00145198587721476,6829.95866288759,15177.685917528,4432.15948858083
