Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2.07,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000211787512821469,-0.0372937669846747,-0.0879212003231684,1995137.63828536,4433639.19618968,486008.502944431
2.08,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000215338366754922,-0.0363894487512946,-0.0861835655561246,1914001.09442176,4253335.76538168,548341.264476423
2.09,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000218207840225378,-0.0355072707213468,-0.0844745318791492,1835973.20924515,4079940.46498923,613192.738352248
2.1,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.00022052668469264,-0.0346466763448649,-0.0827938775416911,1760948.11875558,3913218.04167907,680376.292162664
2.11,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000222400561457391,-0.0338071258331023,-0.0811413693022136,1688822.38456306,3752938.63236236,749712.652363617
2.12,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000223914856262,-0.0329880951379027,-0.0795167633978668,1619495.09870651,3598877.99712557,821029.760428741
2.13,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000225138570007963,-0.0321890750733743,-0.0779198064458483,1552867.95429762,3450817.67621693,894162.615843445
2.14,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000226127462875786,-0.0314095705538667,-0.0763502362836823,1488845.28881956,3308545.08626569,968953.109627291
2.15,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000226926595113417,-0.0306490999272067,-0.0748077827545035,1427334.10556121,3171853.56791379,1045249.85125422
2.16,NaN,NaN,1,0,6.60903482455866e-05,1,1,1,1,-0.000227572380267704,-0.0299071943861569,-0.0732921684425051,1368244.07758777,3040542.39463949,1122907.99120269
