Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
2.27,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230106593124611,-0.0228570218223041,-0.058317930730998,855181.718660514,1900403.81924559
2.28,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230142162100534,-0.0223052192406101,-0.0571008414154338,819021.322557308,1820047.38346068
2.29,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230170905674529,-0.0217668743358965,-0.0559065860711495,784336.641580208,1742970.31462268
2.3,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230194133586623,-0.0212416587493436,-0.0547348428849721,751070.767782473,1669046.15062772
2.31,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.00023021290424821,-0.0207292521617592,-0.0535852898190691,719168.78397216,1598152.85327147
2.32,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230228072970003,-0.0202293420913863,-0.0524576048945949,688577.70717666,1530172.6826148
2.33,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230240330935434,-0.0197416236978191,-0.0513514664586632,659246.432739255,1464992.0727539
2.34,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230250236695363,-0.0192657995916509,-0.0502665534354255,631125.679142949,1402501.50920655
2.35,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230258241619207,-0.0188015796495316,-0.0492025455619995,604167.933641163,1342595.40809147
2.36,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230264710462205,-0.0183486808343569,-0.0481591236099517,578327.39876148,1285171.99724773
2.37,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230269937985982,-0.0179068270203435,-0.0471359695930078,553559.939737285,1230133.19941619
2.38,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230274162389767,-0.017475748822776,-0.0461327669616288,529823.032912384,1177384.51758308
2.39,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230277576164261,-0.0170551834322332,-0.0451492007850671,507075.715155308,1126834.92256735
2.4,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230280334862739,-0.0166448744531212,-0.0441849579214831,485278.534312705,1078396.74291712
2.41,NaN,NaN,1,0,2.69822340313383e-05,1,1,1,1,-0.000230282564189049,-0.0162445717463592,-0.043239727176682,464393.500724946,1031985.55716655
2.42,1,0.24,1,0,1.13400021494975e-05,0,1,1,1,-0.000183917126689213,-0.0158540312760737,-0.0423131994520025,444384.039821484,987520.088492187
2.43,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000192816084758357,-0.0154718842023126,-0.0414050678818682,424788.113601408,943973.585780907
2.44,NaN,NaN,1,0,1.13400021494975e-05,0,1,1,1,-0.000153640164929435,-0.0150992735681298,-0.0405149891516185,406504.941590195,903344.314644878
2.45,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000168349029744587,-0.014734794406326,-0.039642670961362,388571.142429819,863491.427621819
2.46,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000180235381072629,-0.0143795625029273,-0.0387877828222401,371850.226614475,826333.836921055
2.47,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000189840836671631,-0.0140332835124066,-0.0379500438844406,355815.32698341,790700.726629801
2.48,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000197603082184829,-0.0136956834758735,-0.0371291728349517,340442.963447806,756539.918772901
2.49,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000203875814882009,-0.0133665057893126,-0.0363248886131694,325709.619047794,723799.153439541
2.5,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000208944860356461,-0.0130455087321262,-0.035536910997889,311591.937869373,692426.528598606
2.51,NaN,NaN,1,0,1.13400021494975e-05,0,1,1,1,-0.000166673957520468,-0.0127324634489853,-0.0347649610893235,298066.8761046,662370.835787999
2.52,NaN,NaN,1,0,1.13400021494975e-05,0,1,1,1,-0.000132514502771479,-0.012426021540657,-0.0340087617053118,284761.278979045,632802.842175655
2.53,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000151277213149445,-0.012126219784524,-0.0332679988973805,272077.552809463,604616.784021029
2.54,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000166439509507563,-0.0118341868600359,-0.032542370754669,260311.853878172,578470.786395937
2.55,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000178692282492928,-0.0115496455053986,-0.0318316244670374,249027.426660528,553394.281467839
2.56,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000188593846364586,-0.0112723420691516,-0.0311355063851161,238209.045000783,529353.433335073
2.57,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000196595379341784,-0.0110020427012425,-0.0304537628594635,227841.093967165,506313.542149254
2.58,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000203061482152921,-0.0107385302574033,-0.0297861409201931,217907.78900924,484239.531131645
2.59,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000208286791563424,-0.0104816017803813,-0.0291323888270248,208393.346224787,463096.324943971
2.6,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000212509405900526,-0.010231066447749,-0.0284922565140099,199282.113318028,442849.140706729
2.61,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000215921734327253,-0.0099867438971694,-0.0278654959485557,190558.669106607,423463.709125794
2.62,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000218679264227519,-0.00974846285708417,-0.027251861420648,182207.897972949,404906.439939886
2.63,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000220907646200162,-0.00951606002460518,-0.0266511097751494,174215.044435493,387144.543189985
2.64,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000222708419499312,-0.00928937914355301,-0.0260630005976112,166565.752008405,370146.115574234
2.65,NaN,NaN,1,0,1.13400021494975e-05,1,1,1,1,-0.000224163638808541,-0.00906827024460552,-0.025487296362065,159246.089694517,353880.199321149
2.66,1,0.24,1,0,4.93856245382738e-06,0,1,1,1,-0.000180200759203902,-0.00885258901680995,-0.0249237625476616,152242.568786773,338316.819526161
2.67,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000189812858462538,-0.00864109548437171,-0.0243721677297357,145296.136806245,322880.304013879
2.68,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.000197580472770235,-0.00843499405497366,-0.0238322458681303,138932.250423712,308738.334274915
2.69,NaN,NaN,1,0,4.93856245382738e-06,1,1,1,1,-0.0002038575440332,-0.00823410824994446,-0.0233037813913991,132837.069281054,295193.48729123
