Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
2.259,-1.11208730512132e-06,0.00135860756945715,0.00437310225733412,-5.83348547053939e-06,0
2.269,-8.16517596820354e-07,0.00132544808618769,0.00426963877065681,-5.83348547053939e-06,0
2.279,-1.77923359604405e-06,0.0012931044712952,0.00416858825798446,-5.83348547053939e-06,0
2.289,-1.36080807648377e-06,0.00126152614238401,0.00406989590345771,-5.83348547053939e-06,0
2.299,-1.0229036616635e-06,0.00123072811832313,0.00397350703651814,-5.83348547053939e-06,0
2.309,-7.52472797305728e-07,0.00120068940614999,0.00387936937848785,-5.83348547053939e-06,0
2.319,-5.36306197237353e-07,0.0011713898430481,0.00378743172447727,-5.83348547053939e-06,0
2.329,-3.63042307629808e-07,0.00114281008004646,0.00369764393502286,-5.83348547053939e-06,0
2.339,-1.41277658704685e-06,0.00111493151711161,0.00360995692745236,-5.83348547053939e-06,0
2.349,-1.0736453506557e-06,0.00108770722882118,0.00352432266531865,-1.7216185971611e-06,1
2.359,-1.18836268419051e-06,0.00106115512964275,0.00344069315030718,-1.671467737909e-06,1
2.369,-8.95704758321414e-07,0.00103524775889537,0.00335902264636193,-1.671467737909e-06,0
2.379,-6.61180293439145e-07,0.00100997932824725,0.00327926604467431,-1.671467737909e-06,0
2.389,-4.7330878507321e-07,0.000985332838165468,0.0032013795859931,-1.671467737909e-06,0
2.399,-3.21919460149982e-07,0.000961291983659785,0.00312532042951416,-1.671467737909e-06,0
2.409,-2.0196153469007e-07,0.000937841105404399,0.00305104664519554,-1.671467737909e-06,0
2.419,-1.0580526268759e-07,0.000914965049130956,0.00297851720465883,-1.671467737909e-06,0
2.429,-4.06243366382776e-07,0.000892649216204858,0.0029076919675768,-1.671467737909e-06,0
2.439,-2.7368346534702e-07,0.000870870272712294,0.00283853167026422,-1.671467737909e-06,0
2.449,-1.67747881939539e-07,0.00084962568505299,0.00277099759577744,-1.671467737909e-06,0
2.459,-8.42133441970815e-08,0.000828901772604006,0.00270505226905755,-1.671467737909e-06,0
2.469,-1.70829406756724e-08,0.000808685291364687,0.00264065903171828,-1.671467737909e-06,0
2.479,-3.34546148186369e-07,0.000788963466562502,0.00257778202900186,-1.671467737909e-06,0
2.489,-2.22090441361959e-07,0.000769714855926527,0.00251638619830182,-1.671467737909e-06,0
2.499,-5.00214349550963e-07,0.000750938403615453,0.00245643694448881,-1.671467737909e-06,0
2.509,-3.57776075047662e-07,0.00073261307003914,0.00239790082356896,-1.671467737909e-06,0
2.519,-2.44801665467236e-07,0.000714738110014954,0.00234074481729231,-1.671467737909e-06,0
2.529,-1.53682806071716e-07,0.000697301821747803,0.00228493701508513,-1.671467737909e-06,0
2.539,-8.15602687604655e-08,0.000680292974358248,0.00223044619997941,-1.07553175003246e-06,1
2.549,-2.44869551328099e-08,0.000663700680582299,0.00217724184096964,-1.07553175003246e-06,0
2.559,2.06667087808692e-08,0.000647514414921564,0.00212529408126282,-1.07553175003246e-06,0
2.569,5.67105225016016e-08,0.000631723984883899,0.00207457372755466,-1.07553175003246e-06,0
2.579,-1.60557711659504e-07,0.000616319515064047,0.00202505223868671,-1.07553175003246e-06,0
2.589,-9.16222979139921e-08,0.000601285415529266,0.00197670171414654,-1.07553175003246e-06,0
2.599,-3.74525317605579e-08,0.000586619633707775,0.00192949467594539,-1.07553175003246e-06,0
2.609,5.36633318945822e-09,0.000572312827345651,0.00188340451874571,-1.07553175003246e-06,0
2.619,-2.02049361796161e-07,0.00055835596529394,0.00183840522971348,-1.07553175003246e-06,0
2.629,-1.29020993550518e-07,0.000544734410990531,0.00179447137886007,-1.07553175003246e-06,0
2.639,-7.06580454345876e-08,0.000531446826474735,0.00175157790664886,-1.07553175003246e-06,0
2.649,-2.47493679730958e-08,0.000518484709579742,0.00170970056771512,-1.07553175003246e-06,0
2.659,1.20161721380568e-08,0.000505839819404384,0.0016688156570322,-1.07553175003246e-06,0
2.669,4.05532103162298e-08,0.000493504196766959,0.00162890000033314,-1.07553175003246e-06,0
2.679,6.30226038246444e-08,0.000481470098891543,0.00158993094556314,-1.07553175003246e-06,0
2.689,-1.55456868245702e-07,0.000469730024522115,0.00155188635238367,-1.07553175003246e-06,0
2.699,-9.66927060454868e-08,0.000458270927287448,0.00151474458289881,-1.07553175003246e-06,0
2.709,-5.01265993624957e-08,0.000447092716138667,0.00147848429409092,-1.07553175003246e-06,0
2.719,-1.75017648964635e-07,0.000436188243632814,0.00144308487235244,-7.0096691371713e-07,1
2.729,-1.14840705031852e-07,0.000425546652779935,0.00140852616626152,-6.6935821139198e-07,1
2.739,-6.67991300440239e-08,0.000415166045938318,0.00137478834339981,-6.54471267104449e-07,1
2.749,-2.86520382647039e-08,0.000405039762545635,0.00134185218690634,-6.54471267104449e-07,0
2.759,1.74086883757729e-09,0.000395161359119178,0.00130969891087743,-6.54471267104449e-07,0
2.769,2.54626317139655e-08,0.000385524601508907,0.00127831015302598,-6.54471267104449e-07,0
2.779,-9.45117995883808e-08,0.000376123434009109,0.00124766796732681,-5.99755883400507e-07,1
2.789,-1.91464097319257e-07,0.000366948606964672,0.00121775481585428,-5.99755883400507e-07,0
2.799,-1.32219333568245e-07,0.000357995162051683,0.00118855344515277,-5.99755883400507e-07,0
2.809,-8.5046029561136e-08,0.000349261509601841,0.00116004702376018,-5.99755883400507e-07,0
2.819,-4.70207263681063e-08,0.000340741995149658,0.00113221924334324,-5.99755883400507e-07,0
2.829,-1.68115993163506e-08,0.000332431173419489,0.00110505416123074,-5.99755883400507e-07,0
