Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
10.12,NaN,NaN,1.26021274706764e-10,1,-2.60908448883297e-13,8.89802331501171e-11,9.42573939695463e-10,1.04702813456914e-11,-8.67784583325706e-10,-3.06461618541257e-09,2.45855311299315e-09,5.85369788807893e-09,5.85369788807893e-09,1.30454224441648e-11,2.17575560348606e+20,7.8815638671875e-05
10.13,NaN,NaN,1.26021274706764e-10,1,-2.09405626913828e-13,8.67784583325706e-11,9.1938485562377e-10,8.3910769005335e-12,-8.46366581940964e-10,-2.98921653116574e-09,2.33952289488021e-09,5.57029260685763e-09,5.57029260685763e-09,1.04702813456914e-11,2.17575560348606e+20,7.8815638671875e-05
10.14,1,0.21,7.43502986566439e-11,1,-1.6782153801067e-13,8.46366581940964e-11,8.96764959349723e-10,6.71259121147385e-12,-8.25521606914797e-10,-2.91566963520845e-09,2.22619323180142e-09,5.30046007571767e-09,0,8.3910769005335e-12,6.21644458138875e+20,0.0002251875390625
10.15,NaN,NaN,7.43502986566439e-11,1,-1.34251824229477e-13,8.25521606914797e-11,8.74700890562535e-10,5.35788076993049e-12,-8.05225911525092e-10,-2.84393157458135e-09,2.11830535310022e-09,5.04358417404813e-09,5.04358417404813e-09,6.71259121147385e-12,6.21644458138875e+20,0.0002251875390625
10.16,NaN,NaN,7.43502986566439e-11,0,-1.0715761539861e-13,8.05225911525091e-11,8.53179472374406e-10,1.85969738230477e-11,-7.85458204582393e-10,-2.77395911881394e-09,2.01560928543664e-09,4.7990697272301e-09,4.7990697272301e-09,5.35788076993049e-12,6.21644458138875e+20,0.0002251875390625
10.17,NaN,NaN,7.43502986566439e-11,1,-3.71939476460954e-13,7.85458204582393e-11,8.32187735644181e-10,1.49649401841353e-11,-7.65849710946619e-10,-2.70570979043568e-09,1.91492685255001e-09,4.5593496489286e-09,4.5593496489286e-09,1.85969738230477e-11,6.21644458138875e+20,0.0002251875390625
10.18,NaN,NaN,7.43502986566439e-11,1,-2.99298803682707e-13,7.65849710946619e-11,8.11712937130705e-10,1.20314654918888e-11,-7.46807984049494e-10,-2.63912991278746e-09,1.8223653457091e-09,4.33896510883119e-09,4.33896510883119e-09,1.49649401841353e-11,6.21644458138875e+20,0.0002251875390625
10.19,NaN,NaN,7.43502986566439e-11,1,-2.40629309837776e-13,7.46807984049494e-11,7.91738973836238e-10,9.66245142300762e-12,-7.28302166393528e-10,-2.57418163954931e-09,1.73419939307323e-09,4.12904617398387e-09,4.12904617398387e-09,1.20314654918888e-11,6.21644458138875e+20,0.0002251875390625
10.2,NaN,NaN,7.43502986566439e-11,0,-1.93249028460152e-13,7.28302166393528e-11,7.72254491864794e-10,2.20755318043646e-11,-7.10305423258836e-10,-2.51082736427166e-09,1.6502371379885e-09,3.92913604282975e-09,3.92913604282975e-09,9.66245142300762e-12,6.21644458138875e+20,0.0002251875390625
10.21,NaN,NaN,7.43502986566439e-11,1,-4.41510636087291e-13,7.10305423258836e-11,7.53248209281498e-10,1.77820613510612e-11,-6.9244484890771e-10,-2.44902985021222e-09,1.5676694127601e-09,3.73254622085738e-09,3.73254622085738e-09,2.20755318043646e-11,6.21644458138875e+20,0.0002251875390625
10.22,NaN,NaN,7.43502986566439e-11,1,-3.55641227021224e-13,6.9244484890771e-11,7.34708955063666e-10,1.43139374545823e-11,-6.75124545247229e-10,-2.38874033979745e-09,1.491967755977e-09,3.55230418089761e-09,3.55230418089761e-09,1.77820613510612e-11,6.21644458138875e+20,0.0002251875390625
10.23,NaN,NaN,7.43502986566439e-11,1,-2.86278749091647e-13,6.75124545247229e-11,7.16622101939234e-10,1.15127334833663e-11,-6.5831120896958e-10,-2.32992561849689e-09,1.41983879292072e-09,3.38056855457314e-09,3.38056855457314e-09,1.43139374545823e-11,6.21644458138875e+20,0.0002251875390625
10.24,NaN,NaN,7.43502986566439e-11,1,-2.30254669667326e-13,6.5831120896958e-11,6.98977685549068e-10,9.25042743934495e-12,-6.4197621248498e-10,-2.2725524687331e-09,1.35113111333922e-09,3.21697884128385e-09,3.21697884128385e-09,1.15127334833663e-11,6.21644458138875e+20,0.0002251875390625
10.25,NaN,NaN,7.43502986566439e-11,1,-1.85008548786899e-13,6.4197621248498e-11,6.81765740619929e-10,7.42356695281279e-12,-6.26094748417145e-10,-2.21658783046615e-09,1.28569647454875e-09,3.06118208225894e-09,3.06118208225894e-09,9.25042743934495e-12,6.21644458138875e+20,0.0002251875390625
10.26,NaN,NaN,7.43502986566439e-11,1,-1.48471339056256e-13,6.26094748417145e-11,6.64976349139845e-10,5.94855407981795e-12,-6.10645137260218e-10,-2.16199892690406e-09,1.22339031666806e-09,2.91283408730491e-09,2.91283408730491e-09,7.42356695281279e-12,6.21644458138875e+20,0.0002251875390625
10.27,NaN,NaN,7.43502986566439e-11,1,-1.18971081596359e-13,6.10645137260218e-11,6.48599678071219e-10,4.75783499956812e-12,-5.95608266909509e-10,-2.10875336213591e-09,1.16407219000458e-09,2.77160045239185e-09,2.77160045239185e-09,5.94855407981795e-12,6.21644458138875e+20,0.0002251875390625
