Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1,G11,G22,rho,delta
2.52,1,0.12,3.60456290187442e-08,1,1.37882109823491e-09,0.000201721752362629,0.00189318688806411,-7.4985956218815e-08,-0.00196802534783717,-0.00616327198042621,1244.69160557433,12446.9160557433,0,-6.89410549117456e-08,0.240249310398694,0.123523790510197,0.655547932648406,0.0755479326484064
2.53,NaN,NaN,3.60456290187442e-08,0,1.4997191243763e-09,0.000196802532242915,0.00184897948707265,-5.36798832644093e-08,-0.00192003294236198,-0.00601928272550249,1187.00773530617,11870.0773530617,6.84388951019863,-7.4985956218815e-08,0.225012335894211,0.129216288620448,0.656799155086937,0.0767991550869365
2.54,NaN,NaN,3.60456290187442e-08,0,1.07359766528819e-09,0.000192003291876781,0.0018057828548502,-3.64622752613704e-08,-0.00187321040808791,-0.00587858827444554,1131.97313047614,11319.7313047614,26.7490743949953,-5.36798832644093e-08,0.233614510209156,0.126311773329878,0.660009836229524,0.0800098362295242
2.55,NaN,NaN,3.60456290187442e-08,1,7.29245505227408e-10,0.000187321038617811,0.00176357465397623,-4.73729211278878e-08,-0.00182752931507138,-0.00574111569531642,1079.46745680214,10794.6745680214,58.8128317151893,-3.64622752613704e-08,0.197450737185487,0.116592930182835,0.654275473621994,0.0742754736219938
2.56,NaN,NaN,3.60456290187442e-08,1,9.47458422557756e-10,0.000182752929472572,0.00172233300553123,-5.58191117420993e-08,-0.00178296251294816,-0.00560679358357365,1029.37583585917,10293.7583585917,102.179841756103,-4.73729211278878e-08,0.19831504878499,0.12237966054925,0.656216934365893,0.0762169343658932
2.57,NaN,NaN,3.60456290187442e-08,1,1.11638223484199e-09,0.000178296249405497,0.00168203648877065,-6.21696059118727e-08,-0.00173948276740557,-0.00547555205356764,981.588572935952,9815.88572935951,156.039897574643,-5.58191117420993e-08,0.196606832937794,0.133167916573478,0.653884152853688,0.0738841528536877
2.58,NaN,NaN,3.60456290187442e-08,0,1.24339211823745e-09,0.000173948274986115,0.00164266413857612,-4.33228880505667e-08,-0.00169706351728703,-0.00534732268352798,936.000827532729,9360.00827532728,219.625877446471,-6.21696059118727e-08,0.22466028896931,0.112598312138979,0.654801290449332,0.0748012904493316
2.59,NaN,NaN,3.60456290187442e-08,1,8.66457761011335e-10,0.000169706350099508,0.00160419542895445,-5.13083097700777e-08,-0.00165567828580622,-0.00522203848842426,892.512453579868,8925.12453579868,292.211683193419,-4.33228880505667e-08,0.216708075608821,0.129992803942342,0.655235689576469,0.0752356895764691
2.6,NaN,NaN,3.60456290187442e-08,1,1.02616619540155e-09,0.000165567827067735,0.00156661026489839,-5.76673765535302e-08,-0.00161530251070602,-0.00509963387355001,851.027770646392,8510.27770646392,373.110350341671,-5.13083097700777e-08,0.224011095642057,0.114756651453324,0.667227274685222,0.0872272746852221
2.61,NaN,NaN,3.60456290187442e-08,1,1.1533475310706e-09,0.000161530249665718,0.00152988896846422,-6.21131759983065e-08,-0.00157591153471174,-0.00498004465251447,811.45548569709,8114.5548569709,461.671925548952,-5.76673765535302e-08,0.194994279493175,0.139092349657456,0.654160210372257,0.0741602103722575
2.62,NaN,NaN,3.60456290187442e-08,1,1.24226351996613e-09,0.000157591152166584,0.00149401228417151,-6.53868615293488e-08,-0.00153748129486875,-0.00486320799564525,773.708359406796,7737.08359406796,557.281954636468,-6.21131759983065e-08,0.206196274719578,0.127645944151835,0.656229185954604,0.0762291859546038
2.63,NaN,NaN,3.60456290187442e-08,1,1.30773723058698e-09,0.000153748128275417,0.00145896136352597,-6.77202089474461e-08,-0.00149998833312018,-0.0047490624038212,737.703077699785,7377.03077699785,659.359696232419,-6.53868615293488e-08,0.175816472669773,0.120993119255051,0.65832318941471,0.0783231894147103
2.64,1,0.12,2.69894639296728e-08,1,1.35440417894892e-09,0.000149998832187044,0.00142471775717133,-6.91528101422069e-08,-0.00146340976913311,-0.0046375476835666,703.360079971166,7033.60079971166,0,-6.77202089474461e-08,0.195297266420074,0.118268131713357,0.65375620869686,0.0737562086968605
2.65,NaN,NaN,2.69894639296728e-08,1,1.38305620284414e-09,0.000146340975868647,0.00139126340741935,-7.01017183855628e-08,-0.00142772328152284,-0.00452860492206741,670.603392121154,6706.03392121154,3.90580528899694,-6.91528101422069e-08,0.185900414217245,0.132041468372299,0.659920187634105,0.0799201876341045
2.66,NaN,NaN,2.69894639296728e-08,0,1.40203436771126e-09,0.000142772327182197,0.00135858064075647,-5.14706972287277e-08,-0.00139290710342695,-0.00442217646240064,639.36046749065,6393.6046749065,15.2629803584003,-7.01017183855628e-08,0.196071492541563,0.124419749258582,0.663817470587453,0.0838174705874535
2.67,NaN,NaN,2.69894639296728e-08,1,1.02941394457455e-09,0.00013929070944186,0.00132665216041414,-5.52700502265573e-08,-0.00135893953311157,-0.00431820587946195,609.562030329959,6095.62030329959,33.552634640096,-5.14706972287277e-08,0.196842480263316,0.125191206278498,0.6659113587829,0.0859113587828998
2.68,NaN,NaN,2.69894639296728e-08,1,1.10540100453115e-09,0.000135893952474632,0.00129546103914861,-5.78126597495124e-08,-0.0013258004225883,-0.00421663793992251,581.141915199463,5811.41915199463,58.2834334494077,-5.52700502265573e-08,0.196978538393014,0.13950574886358,0.655759365195644,0.0757593651956441
2.69,NaN,NaN,2.69894639296728e-08,1,1.15625319499025e-09,0.000132580041482022,0.00126499070722943,-5.97313729165986e-08,-0.00129346953755997,-0.00411741861465256,554.037007425062,5540.37007425062,88.9902047200653,-5.78126597495124e-08,0.164634231936181,0.137810558015551,0.664736150589411,0.0847361505894115
2.7,NaN,NaN,2.69894639296728e-08,1,1.19462745833197e-09,0.000129346953034645,0.00123522495616773,-6.08026500912584e-08,-0.00126192715261648,-0.00402049503442859,528.187014035297,5281.87014035297,125.232754349369,-5.97313729165986e-08,0.183127850196344,0.125446075520545,0.655806101047412,0.0758061010474116
2.71,NaN,NaN,2.69894639296728e-08,1,1.21605300182517e-09,0.000126192714591792,0.00120614792542962,-6.14809380066866e-08,-0.00123115401793985,-0.00392581546758904,503.53437339287,5035.34373392869,166.594646933729,-6.08026500912584e-08,0.179839155241251,0.12502089876949,0.661695969817585,0.0816959698175847
2.72,NaN,NaN,2.69894639296728e-08,1,1.22961876013373e-09,0.000123115401171949,0.00117774409573404,-6.18039740058671e-08,-0.00120113136423999,-0.00383332929731418,480.024132397247,4800.24132397247,212.682061940585,-6.14809380066866e-08,0.170021355442466,0.126689160695566,0.665421503469449,0.0854215034694493
2.73,NaN,NaN,2.69894639296728e-08,1,1.23607948011734e-09,0.000120113135846368,0.00114999828223779,-6.17031146152008e-08,-0.00117184088087378,-0.00374298699985521,457.603830970043,4576.03830970043,263.122698672202,-6.18039740058671e-08,0.174966093885154,0.12477964355265,0.661248504603236,0.0812485046032359
2.74,NaN,NaN,2.69894639296728e-08,0,1.23406229230402e-09,0.000117184087550983,0.0011228956280052,-4.46837183330679e-08,-0.00114326470206577,-0.00365474012275952,436.223390133732,4362.23390133732,317.564733427955,-6.17031146152008e-08,0.171828920837562,0.145098583096291,0.65557712462899,0.0755771246289903
2.75,NaN,NaN,2.69894639296728e-08,0,8.93674366661358e-10,0.000114326469708474,0.00109642159747667,-3.09302080423061e-08,-0.00111538499547833,-0.00356854126337047,415.835001823383,4158.35001823383,375.675834515709,-4.46837183330679e-08,0.147923642851243,0.141501430815899,0.652426432638112,0.0724264326381118
